id	rope_id	rope	card_id	card	title	description
11	1	하늘이 내린 새로운 동아줄	11	떠오른 해	선명하게 열린 길	그동안 보이지 않던 가능성이 드러나고 자신 있게 시작할 기회가 찾아옵니다. 좋은 흐름을 의심하며 물러서기보다 목표를 분명히 정하고 당당하게 첫걸음을 내디디세요.
12	1	하늘이 내린 새로운 동아줄	12	달빛 아래	희미하게 보이는 기회	새로운 길이 열린 듯하지만 아직 상황이 분명하지 않아 기대와 불안이 함께할 수 있습니다. 보이는 가능성만 믿고 성급히 나아가기보다 직감을 참고하되 사실을 한 번 더 확인하세요.
13	2	호랑이가 잡은 썩은 동아줄	1	탐나는 떡	달콤할수록 살펴볼 것	마음이 끌리는 제안이나 소비가 예상보다 큰 대가를 요구할 수 있습니다. 지금 원하는 것이 정말 필요한 것인지, 불안정한 조건을 외면하고 있는 것은 아닌지 확인하세요.
14	2	호랑이가 잡은 썩은 동아줄	2	끝없는 고개	다시 돌아온 위험 신호	이전에 겪었던 문제와 비슷한 상황이 다시 반복될 수 있습니다. 이번에는 반복되는 원인을 살펴보고 같은 선택을 되풀이하지 마세요.
15	2	호랑이가 잡은 썩은 동아줄	3	의심의 문	열기 전에 확인할 것	익숙하고 그럴듯한 말 속에 불안정한 조건이 숨어 있을 수 있습니다. 상대의 말만 믿기보다 작은 어긋남과 실제 행동을 확인해야 합니다.
16	2	호랑이가 잡은 썩은 동아줄	4	드러난 발톱	버티는 힘보다 놓는 용기	불안정한 상황을 의지만으로 끝까지 버티려 할 수 있습니다. 무조건 견디는 것만이 강함은 아니므로, 위험을 인정하고 필요하다면 손을 놓는 용기도 내세요.
17	2	호랑이가 잡은 썩은 동아줄	5	올려다본 나무	한 걸음 물러나 보이는 것	주변의 말과 분위기에 휩쓸리면 불안정한 조건을 놓칠 수 있습니다. 지금은 결정을 서두르기보다 잠시 거리를 두고 무엇이 마음에 걸리는지 혼자 차분히 살펴보세요.
18	2	호랑이가 잡은 썩은 동아줄	6	길을 낸 도끼	방법이 있어도 서두르지 말 것	문제를 해결할 능력과 방법이 있어도 기반이 불안정하면 원하는 결과를 만들기 어렵습니다. 바로 실행에 옮기기 전에 계획의 빈틈과 사용할 수 있는 자원이 실제로 충분한지 확인하세요.
19	2	호랑이가 잡은 썩은 동아줄	7	하늘의 응답	희망만으로 붙잡지 말 것	기대했던 기회가 보이지만 아직 믿고 의지하기에는 불안정한 부분이 남아 있습니다. 잘되기를 바라는 마음과 실제 가능성을 구분하고, 확실한 근거가 생길 때까지 신중하게 지켜보세요.
20	2	호랑이가 잡은 썩은 동아줄	8	불안한 응답	무너지기 전의 경고	작은 균열을 무시하면 갑작스럽게 계획이나 관계가 무너질 수 있습니다. 설마 괜찮겠지 하고 넘기지 말고, 지금 드러난 위험을 확인해 더 큰 손실을 막으세요.
21	2	호랑이가 잡은 썩은 동아줄	9	끝의 순간	놓아야 끝나는 불안	이미 힘을 잃은 일이나 관계를 계속 붙잡고 있어 변화가 늦어질 수 있습니다. 고쳐 쓸 수 있다는 미련보다 끝내야 할 이유를 인정하고 새로운 단계로 넘어갈 준비를 하세요.
22	2	호랑이가 잡은 썩은 동아줄	10	선택의 흔적	외면한 조건이 돌아올 때	대충 넘긴 약속이나 불공정한 조건이 분명한 결과로 돌아올 수 있습니다. 누가 더 유리한지만 따지기보다 자신의 선택과 책임을 살펴보고 잘못된 부분을 바로잡으세요.
23	2	호랑이가 잡은 썩은 동아줄	11	떠오른 해	밝은 곳에서 보이는 균열	겉으로는 괜찮아 보이던 상황의 문제점이 분명하게 드러날 수 있습니다. 불편한 사실을 숨기거나 외면하지 말고, 지금 확인한 진실을 바탕으로 안전한 방향을 선택하세요.
24	2	호랑이가 잡은 썩은 동아줄	12	달빛 아래	불안과 사실을 구분할 때	상황이 분명하지 않아 작은 의심이 더 큰 불안과 상상으로 번질 수 있습니다. 직감이 보내는 신호는 무시하지 말되, 두려움만으로 판단하지 않도록 사실을 하나씩 확인하세요.
25	3	오누이가 함께 잡은 동아줄	1	탐나는 떡	함께하면 커지는 욕망	가까운 사람과 함께라면 평소보다 과감한 제안이나 즐거움에 쉽게 끌릴 수 있습니다. 서로가 원한다는 이유만으로 따라가기보다 감당할 조건과 목적이 맞는지 확인하세요.
26	3	오누이가 함께 잡은 동아줄	2	끝없는 고개	함께 맞이하는 전환점	함께해 온 관계나 일에 예상하지 못한 변화가 찾아올 수 있습니다. 흐름이 바뀌는 것을 두려워하기보다 서로의 방향을 확인하면 이번 변화를 새로운 기회로 만들 수 있습니다.
27	3	오누이가 함께 잡은 동아줄	3	의심의 문	말하지 않은 마음 사이	가까운 관계에서도 드러내지 않은 생각이나 의심이 생길 수 있습니다. 상대가 알아서 이해할 것이라 기대하기보다 마음에 걸리는 부분을 조심스럽게 묻고 사실을 확인하세요.
28	3	오누이가 함께 잡은 동아줄	4	드러난 발톱	서로를 지켜 주는 힘	혼자였다면 버거웠을 상황도 서로의 용기와 배려로 견뎌 낼 수 있습니다. 상대를 억지로 이끌기보다 각자의 속도를 존중하며 필요한 순간에 힘을 보태세요.
29	3	오누이가 함께 잡은 동아줄	5	올려다본 나무	가까워지기 위한 거리	소중한 관계일수록 잠시 떨어져 생각할 시간이 필요할 수 있습니다. 거리를 두는 것이 관계를 끝낸다는 의미는 아니며, 서로의 입장을 더 잘 보기 위한 시간이 될 수 있습니다.
30	3	오누이가 함께 잡은 동아줄	6	길을 낸 도끼	함께 만드는 길	혼자 해결하기 어려웠던 문제에 새로운 방법이 보이기 시작합니다. 모든 일을 혼자 밀어붙이기보다 서로 잘하는 일을 나누면 더 빠르게 길을 만들 수 있습니다.
31	3	오누이가 함께 잡은 동아줄	7	하늘의 응답	함께 키우는 희망	지쳐 있던 관계나 공동의 목표에 다시 기대를 품게 하는 계기가 생길 수 있습니다. 서로를 응원하는 데서 그치지 말고 작은 약속을 함께 실천하면 희망이 현실에 가까워집니다.
32	3	오누이가 함께 잡은 동아줄	8	불안한 응답	흔들릴 때 잡아 줄 손	예상하지 못한 문제로 함께하던 계획이나 관계가 크게 흔들릴 수 있습니다. 누구의 잘못인지 따지기보다 먼저 상황을 안정시키고, 무너진 부분을 함께 솔직하게 확인하세요.
33	3	오누이가 함께 잡은 동아줄	9	끝의 순간	함께 건너는 변화	오래 유지해 온 관계나 역할이 끝나고 서로 새로운 방식으로 연결될 수 있습니다. 예전 모습으로 되돌리려 하기보다 달라진 상황을 인정하고 각자 필요한 변화를 받아들이세요.
34	3	오누이가 함께 잡은 동아줄	10	선택의 흔적	함께한 선택의 몫	여럿이 내린 결정의 결과와 책임을 함께 나누어야 하는 순간이 올 수 있습니다. 좋은 결과만 함께 누리려 하지 말고 역할과 부담을 공정하게 나누어야 관계도 오래갈 수 있습니다.
35	3	오누이가 함께 잡은 동아줄	11	떠오른 해	함께라서 더 밝은 길	서로의 노력과 마음이 분명하게 드러나며 함께 기뻐할 성과가 생길 수 있습니다. 칭찬과 기쁨을 아끼지 말고 앞으로 가고 싶은 방향도 솔직하게 나누세요.
36	3	오누이가 함께 잡은 동아줄	12	달빛 아래	불안을 나누어 볼 때	앞이 잘 보이지 않는 상황에서 서로의 걱정과 오해가 커질 수 있습니다. 혼자 짐작하거나 상대에게 답을 맡기기보다 불안한 이유를 이야기하고 확인된 사실부터 맞춰보세요.
37	4	수수밭이 붉게 물든 동아줄	1	탐나는 떡	욕망이 남긴 자국	과거에 충동적으로 선택한 일의 대가가 지금의 관계나 상황에 남아 있을 수 있습니다. 그때의 욕망을 탓하기만 하기보다 무엇에 끌렸는지 이해해야 같은 유혹 앞에서 다른 선택을 할 수 있습니다.
38	4	수수밭이 붉게 물든 동아줄	2	끝없는 고개	되풀이되는 선택의 흐름	예전에 내린 선택과 비슷한 상황이 다시 찾아오며 익숙한 결과가 반복될 수 있습니다. 운명이라 여기며 흘려보내지 말고, 이번에는 반복되는 행동 하나를 바꾸어 흐름을 전환하세요.
39	4	수수밭이 붉게 물든 동아줄	3	의심의 문	흔적 속에 감춰진 진실	지나간 일의 작은 어긋남 속에서 당시에는 알지 못했던 사실이 드러날 수 있습니다. 기억이나 추측만 믿기보다 남아 있는 흔적과 마음에 걸렸던 신호를 함께 살펴보세요.
40	4	수수밭이 붉게 물든 동아줄	4	드러난 발톱	상처가 길러 낸 힘	지난 경험에서 얻은 상처가 예상보다 단단한 인내와 용기로 남아 있습니다. 아팠던 일을 숨기거나 강한 척하기보다 그 경험을 인정하면 지금의 어려움도 차분히 다룰 수 있습니다.
41	4	수수밭이 붉게 물든 동아줄	5	올려다본 나무	지나온 길을 돌아볼 때	과거의 선택이 지금의 자신을 어디로 데려왔는지 혼자 돌아볼 시간이 필요합니다. 후회에 오래 머물기보다 그 경험에서 배운 것을 정리하면 다음 선택의 기준이 선명해집니다.
42	4	수수밭이 붉게 물든 동아줄	6	길을 낸 도끼	경험을 도구로 바꾸는 법	과거의 성공과 실패에서 얻은 경험이 지금 문제를 해결할 유용한 도구가 될 수 있습니다. 예전과 같은 방식을 그대로 반복하지 말고, 배운 것을 현재 상황에 맞게 활용해 보세요.
43	4	수수밭이 붉게 물든 동아줄	7	하늘의 응답	상처 뒤에 남은 희망	지난 선택으로 생긴 실망이나 상처가 조금씩 회복되며 다시 기대할 이유가 생길 수 있습니다. 아팠던 기억 때문에 가능성까지 밀어내지 말고, 작은 믿음부터 천천히 되살려 보세요.
44	4	수수밭이 붉게 물든 동아줄	8	불안한 응답	무너진 자리에서 보이는 것	외면해 온 과거의 문제가 예상하지 못한 방식으로 다시 드러날 수 있습니다. 무너진 상황만 탓하기보다 처음 생긴 균열을 돌아보면 같은 위기를 반복하지 않을 수 있습니다.
45	4	수수밭이 붉게 물든 동아줄	9	끝의 순간	끝낸 뒤에 시작되는 것	지난 선택으로 이어져 온 일이나 관계를 완전히 마무리해야 할 순간이 올 수 있습니다. 이미 끝난 것에 대한 미련이나 죄책감을 놓아야 새로운 단계로 나아갈 자리가 생깁니다.
46	4	수수밭이 붉게 물든 동아줄	10	선택의 흔적	선택이 돌아오는 날	과거에 내린 결정과 행동이 그에 맞는 결과로 돌아올 수 있습니다. 결과가 마음에 들지 않더라도 책임을 피하기보다 잘못된 부분을 바로잡는 것이 다음 선택을 바꾸는 시작입니다.
47	4	수수밭이 붉게 물든 동아줄	11	떠오른 해	드러나는 흔적	이전에 내린 선택의 결과가 분명하게 나타나는 날입니다. 좋은 결과든 아쉬운 결과든 숨기지 않고 받아들이면 다음 방향도 선명해질 수 있습니다.
48	4	수수밭이 붉게 물든 동아줄	12	달빛 아래	기억과 사실 사이	과거에 겪은 일이 현재의 상황을 실제보다 불안하거나 익숙하게 보이게 만들 수 있습니다. 예전의 두려움을 지금의 진실로 단정하지 말고, 느끼는 감정과 확인된 사실을 구분하세요.
49	5	끝없는 동아줄	1	탐나는 떡	끝을 모르는 욕망	하나를 이루고도 더 큰 만족을 원하며 계속 다음 것을 좇게 될 수 있습니다. 원하는 마음이 나쁘다고 여기기보다 무엇이면 충분한지 기준을 정해 욕망에 끌려가지 않도록 하세요.
50	5	끝없는 동아줄	2	끝없는 고개	되풀이되는 길을 벗어날 때	꾸준히 노력하고 있지만 같은 문제와 결과가 반복되어 제자리처럼 느껴질 수 있습니다. 운이 바뀌기만 기다리기보다 지금의 방식에서 하나를 바꾸어 새로운 흐름을 만들어 보세요.
51	5	끝없는 동아줄	3	의심의 문	계속 가기 전에 확인할 것	오랫동안 붙잡아 온 목표 속에 아직 드러나지 않은 조건이나 진실이 있을 수 있습니다. 여기까지 왔다는 이유로 의심을 덮지 말고, 마음에 걸리는 신호와 숨은 이유를 다시 확인하세요.
52	5	끝없는 동아줄	4	드러난 발톱	버티는 힘을 다루는 법	쉽게 포기하지 않는 끈기와 내면의 힘이 긴 시간을 견디게 해 줄 수 있습니다. 끝까지 버티는 데 힘을 모두 쓰기보다 감정과 속도를 조절하며 오래갈 수 있는 방법을 선택하세요.
53	5	끝없는 동아줄	5	올려다본 나무	계속 가는 이유를 돌아볼 때	오랫동안 이어 온 일에서 잠시 떨어져 자신이 왜 시작했는지 돌아볼 필요가 있습니다. 남들이 기대한다는 이유로 계속하기보다 지금도 원하는 길인지 혼자 차분히 답을 찾아보세요.
54	5	끝없는 동아줄	6	길을 낸 도끼	노력보다 방법을 바꿀 때	오랫동안 애써도 길이 보이지 않았다면 부족한 것은 의지가 아니라 새로운 방법일 수 있습니다. 같은 행동을 더 반복하기보다 가진 도구와 능력을 다르게 조합해 직접 길을 만들어 보세요.
55	5	끝없는 동아줄	7	하늘의 응답	멀리 있어도 보이는 희망	목표가 아직 멀리 있어도 다시 힘을 낼 수 있는 희망이나 작은 신호가 찾아올 수 있습니다. 결과만 바라보며 지치지 말고 지금까지의 진전을 확인하며 다음 단계까지 꾸준히 나아가세요.
56	5	끝없는 동아줄	8	불안한 응답	멈추지 않으면 무너질 것	끝까지 해내려는 마음 때문에 이미 흔들리는 계획이나 몸과 마음의 신호를 외면할 수 있습니다. 강제로 멈춰 서기 전에 무리한 부분을 줄이고 무너질 수 있는 기반부터 점검하세요.
57	5	끝없는 동아줄	9	끝의 순간	끝을 정해야 열리는 길	오랫동안 붙잡아 온 목표나 관계가 이미 역할을 다했지만 익숙함 때문에 놓지 못할 수 있습니다. 계속 이어 가는 것만이 답은 아니므로 끝내야 할 것을 정리하고 새로운 단계에 자리를 내어 주세요.
58	5	끝없는 동아줄	10	선택의 흔적	계속한 시간의 무게	오랜 노력에 대한 결과가 나타나며 그동안 들인 시간과 책임을 따져보게 될 수 있습니다. 수고했다는 이유만으로 계속하기보다 얻은 것과 잃은 것을 공정하게 살펴보고 다음 선택을 정하세요.
59	5	끝없는 동아줄	11	떠오른 해	지나온 길이 보이는 순간	끝없이 이어지는 듯했던 노력의 성과와 앞으로 가야 할 방향이 분명하게 드러날 수 있습니다. 아직 끝나지 않았다는 이유로 성취를 지나치지 말고 지금까지 해낸 것을 인정하며 자신 있게 나아가세요.
60	5	끝없는 동아줄	12	달빛 아래	계속 오를지, 잠시 멈출지	오랫동안 붙잡아 온 목표가 있지만 아직 끝이 보이지 않습니다. 무조건 계속하는 것이 끈기인지 집착인지 판단하기 위해 오늘은 속도를 조금 늦출 필요가 있습니다.
